palabra,tipo,significado
ÁBACO,m.,"Cuadro de madera con diez cuerdas o alambres paralelos y en cada uno de ellos otras tantas bolas móviles, usado en las escuelas para enseñar a los niños los rudimentos de la aritmética, y en algunos países para ciertas operaciones elementales en el comercio. / Todo instrumento que sirve para efectuar manualmente cálculos aritméticos mediante marcadores deslizables.
S. anotador, contador, tabla, remate, capitel.
C. Los niños aprenden a contar las bolitas con el ábaco de la escuela"
ABACORAR,v.,"Acaparar. / Hostigar, perseguir.
S. acopiar, acumular, retener, avasallar, someter, sojuzgar.
A. dispersar, esparcir, disgregar, prorratear, impartir, liberar.
C. El avariento no deja de abacorar todo para sí."
ABAD,m.,"Superior de un monasterio de hombres, considerado abadía. / Dignidad superior de algunas colegiatas. / Hombre que usaba hábito eclesiástico como los sacerdotes o estudiantes de las universidades. 
S. rector, prior, regente, capellán, clérigo, sacerdote, patriarca.
A. hereje, apóstata, sacrílego, novicio, neófito.
C. El abad ordenó a los clérigos de su monasterio a mantener la abstinencia."
ABALA,v.,"Mover de un lugar. / Echar abajo, abatir.  / Zarandear, sacudir.
S. menear, agitar, revolver, remover, estremecer, vibrar.
A. aquietar, calmar, sosegar, serenar, aplacar.
H. avalar (garantizar).
C. Se debe abalar el trigo para separarlo de la paja."
ABALORIO,m.,"Conjunto de cuentas agujereadas, con las cuales, ensartándolas, se hacen adornos y labores. /  Cada una de estas cuentas. / Collar u objeto de adorno personal de poco valor.
S. Lentejuela, semilluela, oropel, quincalla, cuenta, bolita, collar.
C. De la entrada colgaban un vistoso abalorio de pequeñas joyas brillantes."
ABARAJAR,v.,"En el juego de naipes, mezclarlos unos con otros antes de repartirlos. / Mezclar y revolver unas personas o cosas con otras. / En las reflexiones o hipótesis que preceden a una resolución, considerar las varias posibilidades o probabilidades que pueden darse. 
S. Barajar, mezclar, religar, combinar, juntar, reunir.
A. Separar, apartar, alejar, distanciar, desviar, aislar.
C. El crupier es quien se encarga de abarajar las cartas antes de repartirlas."
ABARCAR,v.,"Ceñir algo con los brazos o con la mano. / Rodear, comprender. / Contener, implicar o encerrar en sí. / Percibir o dominar con la vista, de una vez, algo en su totalidad. / Tomar alguien a su cargo muchas cosas o negocios a un tiempo. 
S. Acaparar, incluir, contener, acumular, atesorar, amontonar.
A. Esparcir, difundir, divulgar, irradiar, propagar, extender.
C. No pudo abarcar todos los temas en una sola presentación."
ABARRAGANARSE,v.,"Amancebarse (unirse en un trato sexual habitual entre hombre y mujer no casados entre sí).
S. Liarse, juntarse, unirse, cohabitar, convivir.
A. Separarse, distarse, divorciarse, distanciarse, desunirse, repudiarse.
C. La muy descarada terminó por abarraganarse con un hombre casado."
ABARRAJAR,v.,"Atropellar. / Corromper, envilecer algo o a alguien.
S. Obligar, empujar, derribar, demoler, viciar, dañar, empeorar.
A. Reparar, mejorar, arreglar, optimizar, corregir, perfeccionar, optimar, reformar.
C. Luego de abarrajar al peatón el mal chofer planeaba darse a la fuga."
ABARROTAR,v.,"Apretar o fortalecer con barrotes algo. / Llenar completamente, atestar de géneros u otras cosas una tienda, un almacén, etc. / Saturar de productos el mercado, de manera que se deprecian por su excesiva abundancia.
S. Atiborrar, apretar, aglomerar, colmar, rebosar, colmar.
A. Vaciar, desocupar, evacuar, desinflar, agotar, desaguar.
C. Abarrotar el escenario con miles de personas no es bueno para la seguridad del estadio."
